school,date,amount,sport,deal_description,is_social_media
ucla,2024,173.0,Basketball,Royalty,0
ucla,2024,76.0,Basketball,Royalty,0
ucla,2024,164.49,Basketball,Royalty,0
ucla,2024,198.0,Basketball,Royalty,0
ucla,2024,129.0,Soccer,Royalty,0
ucla,2024,51.0,Football,Royalty,0
ucla,2024,53.0,Football,Royalty,0
ucla,2024,195.0,Basketball,Royalty,0
ucla,2024,54.0,Volleyball,Royalty,0
ucla,2024,235.0,Basketball,Royalty,0
ucla,2024,106.0,Baseball,Royalty,0
ucla,2024,118.0,Gymnastics,Royalty,0
ucla,2024,96.0,Volleyball,Royalty,0
ucla,2024,199.0,Basketball,Royalty,0
ucla,2024,74.0,Tennis,Royalty,0
ucla,2024,230.0,Basketball,Royalty,0
ucla,2024,55.0,Baseball,Royalty,0
ucla,2024,94.0,Gymnastics,Royalty,0
ucla,2024,120.0,Basketball,Royalty,0
ucla,2024,148.0,Football,Royalty,0
ucla,2024,59.0,Football,Royalty,0
ucla,2024,240.0,Football,Royalty,0
ucla,2024,212.0,Football,Royalty,0
ucla,2024,25000.0,Football,Public Appearance,0
ucla,2024,15000.0,Football,Social Media,1
ucla,2024,15.1,Football,Other,0
ucla,2024,200.0,Football,Public Appearance,0
ucla,2024,100.0,Volleyball,Social Media,1
ucla,2024,35.0,Gymnastics,Social Media,1
ucla,2024,31.03,Water Polo,Social Media,1
ucla,2024,8600.0,Basketball,Social Media,1
ucla,2024,150.0,Gymnastics,Social Media,1
ucla,2024,52.0,Basketball,Royalty,0
ucla,2024,4500.0,Softball,Social Media,1
ucla,2024,50000.0,Gymnastics,Social Media,1
ucla,2024,15000.0,Football,Social Media,1
ucla,2024,6000.0,Gymnastics,Social Media,1
ucla,2024,150.0,Football,Other,0
ucla,2024,20000.0,Softball,Social Media,1
ucla,2024,15000.0,Gymnastics,Social Media,1
ucla,2024,3600.0,Softball,Social Media,1
ucla,2024,500.0,Other,Public Appearance,0
ucla,2024,500.0,Soccer,Public Appearance,0
ucla,2024,500.0,Soccer,Public Appearance,0
ucla,2024,10000.0,Football,Social Media,1
ucla,2024,125000.0,Gymnastics,Social Media,1
